League Id,Date,Home,Score Home,Away,Score Away,Type,Played,Overtime,Shootout,Game Id
0,2003-9-24,0,3,19,0,Pre-Season,1,0,0,1248
0,2003-9-24,34,1,8,1,Pre-Season,1,1,0,1250
0,2003-9-24,16,1,33,3,Pre-Season,1,0,0,1246
0,2003-9-24,15,2,17,3,Pre-Season,1,1,0,1252
0,2003-9-24,24,1,28,5,Pre-Season,1,0,0,1258
0,2003-9-24,11,4,21,2,Pre-Season,1,0,0,1260
0,2003-9-24,32,4,5,3,Pre-Season,1,0,0,1256
0,2003-9-24,9,4,14,4,Pre-Season,1,1,0,1254
0,2003-9-24,31,2,23,2,Pre-Season,1,1,0,1232
0,2003-9-24,3,3,30,2,Pre-Season,1,1,0,1234
0,2003-9-24,18,2,35,1,Pre-Season,1,0,0,1236
0,2003-9-24,22,3,26,3,Pre-Season,1,1,0,1244
0,2003-9-24,20,4,29,1,Pre-Season,1,0,0,1240
0,2003-9-24,10,2,12,1,Pre-Season,1,0,0,1242
0,2003-9-24,27,2,25,4,Pre-Season,1,0,0,1238
0,2003-9-25,25,5,21,1,Pre-Season,1,0,0,1280
0,2003-9-25,33,1,12,3,Pre-Season,1,0,0,1278
0,2003-9-25,5,2,24,2,Pre-Season,1,1,0,1282
0,2003-9-25,30,1,11,3,Pre-Season,1,0,0,1286
0,2003-9-25,16,3,31,0,Pre-Season,1,0,0,1288
0,2003-9-25,35,2,3,3,Pre-Season,1,0,0,1290
0,2003-9-25,23,4,14,2,Pre-Season,1,0,0,1276
0,2003-9-25,29,1,8,3,Pre-Season,1,0,0,1284
0,2003-9-25,28,0,27,0,Pre-Season,1,1,0,1262
0,2003-9-25,20,1,9,3,Pre-Season,1,0,0,1264
0,2003-9-25,19,2,32,0,Pre-Season,1,0,0,1266
0,2003-9-25,10,2,15,3,Pre-Season,1,0,0,1274
0,2003-9-25,26,3,0,1,Pre-Season,1,0,0,1270
0,2003-9-25,22,4,34,1,Pre-Season,1,0,0,1272
0,2003-9-25,17,3,18,6,Pre-Season,1,0,0,1268
0,2003-9-27,8,3,31,2,Pre-Season,1,0,0,1312
0,2003-9-27,12,2,30,0,Pre-Season,1,0,0,1308
0,2003-9-27,15,2,23,2,Pre-Season,1,1,0,1314
0,2003-9-27,11,0,25,1,Pre-Season,1,0,0,1316
0,2003-9-27,24,2,35,2,Pre-Season,1,1,0,1318
0,2003-9-27,33,2,10,3,Pre-Season,1,0,0,1320
0,2003-9-27,32,4,27,0,Pre-Season,1,0,0,1306
0,2003-9-27,21,2,19,3,Pre-Season,1,0,0,1310
0,2003-9-27,14,3,20,4,Pre-Season,1,1,0,1292
0,2003-9-27,16,5,22,3,Pre-Season,1,0,0,1294
0,2003-9-27,3,3,17,5,Pre-Season,1,0,0,1296
0,2003-9-27,9,1,5,0,Pre-Season,1,0,0,1304
0,2003-9-27,18,1,28,3,Pre-Season,1,0,0,1302
0,2003-9-27,0,3,34,1,Pre-Season,1,0,0,1298
