PlayerId,Year,Team Id,League Id,GP,Min,W,L,T/OL,ENG,SO,GA,SA,GR
161731,2034,177,14,1,3761,1,0,0,0,0,1,32,85
161731,2033,177,14,1,3600,0,1,0,0,0,8,34,14
161731,2032,177,14,1,3600,0,1,0,0,0,5,46,66
32,2024,741,2,3,10704,1,2,0,2,0,7,94,73
32,2023,741,2,1,2787,0,0,1,0,0,6,33,33
32,2023,734,2,0,0,0,0,0,0,0,0,0,0
41,2034,878,4,3,8714,0,1,1,0,0,7,71,62
41,2033,876,4,3,11100,3,0,0,0,0,7,80,71
41,2032,876,4,3,11350,1,1,1,0,0,9,101,69
41,2031,894,4,0,0,0,0,0,0,0,0,0,0
41,2030,897,4,4,9824,2,2,0,0,0,14,114,55
41,2029,627,6,3,10756,2,1,0,0,0,4,68,68
41,2028,894,4,2,7169,0,2,0,1,0,7,54,56
41,2027,1922,59,4,14283,2,2,0,1,0,9,99,67
41,2026,881,4,4,14580,2,2,0,1,0,13,128,66
41,2025,9,0,4,11406,2,1,0,0,1,6,86,72
41,2024,9,0,1,3652,0,0,1,0,0,3,36,75
41,2023,46,1,4,14419,3,1,0,1,1,6,116,78
84,2034,737,2,3,10718,1,2,0,0,0,7,79,67
84,2033,737,2,4,10966,3,1,0,0,0,9,104,64
84,2032,737,2,4,14632,1,3,0,0,0,13,154,75
84,2031,751,2,3,11100,3,0,0,0,0,6,108,87
84,2030,740,2,3,10746,2,1,0,0,0,7,74,65
84,2029,41,1,4,12256,1,2,1,0,0,12,120,70
84,2028,4619,1,4,13643,1,2,1,1,0,14,165,72
84,2028,738,2,5,18143,3,1,1,0,1,10,138,75
84,2027,4619,1,0,0,0,0,0,0,0,0,0,0
84,2027,25,0,2,7200,2,0,0,0,0,4,69,87
84,2026,4619,1,3,10157,2,1,0,0,0,10,99,66
84,2025,4619,1,4,14361,1,3,0,1,0,17,157,71
84,2024,4619,1,5,15735,3,1,0,0,0,10,132,71
84,2023,109,11,6,16637,2,1,1,1,0,16,162,63
84,2022,109,11,6,20308,4,2,0,0,0,16,153,62
113,2034,736,2,4,13856,3,1,0,0,0,11,113,68
113,2033,736,2,4,14383,3,1,0,0,1,5,86,77
113,2032,733,2,3,10207,1,1,1,0,0,8,90,74
113,2024,752,2,3,11053,2,0,1,0,0,8,104,69
156542,2030,88,12,4,14400,4,0,0,0,1,4,54,65
156542,2029,88,12,4,14400,3,1,0,0,0,8,93,67
218,2034,2190,24,4,14400,1,3,0,0,0,20,158,57
218,2033,2190,24,4,14400,3,1,0,0,0,9,96,66
