PlayerId,Year,Team Id,League Id,GP,Min,W,L,T/OL,ENG,SO,GA,SA,GR
193028,2032,1538,110,29,99594,17,10,2,2,0,75,794,40
193028,2033,1561,111,23,82694,17,4,2,1,0,42,674,42
193028,2034,1561,111,12,42305,8,4,0,1,0,23,358,52
193029,2034,2013,109,16,58753,13,3,0,0,0,33,512,52
193029,2033,2013,109,22,79338,14,7,1,2,0,53,620,42
193029,2032,1538,110,32,107943,21,7,4,2,0,102,930,40
161731,2034,177,14,12,37444,7,1,1,0,3,15,304,83
161731,2033,177,14,7,22231,2,3,1,0,0,16,187,68
161731,2032,177,14,11,34322,7,0,2,0,0,19,307,74
161731,2030,386,43,27,91622,15,10,2,1,0,67,768,61
161731,2029,386,43,28,94029,13,9,6,2,1,69,773,57
161731,2028,1561,111,24,81282,9,10,5,0,0,52,650,64
161731,2027,2013,109,33,115752,23,8,2,1,0,89,980,42
161731,2026,1538,110,28,99958,18,7,3,1,0,83,824,40
25,2034,4923,54,12,40728,6,5,1,1,0,24,351,55
25,2033,4923,54,23,78629,11,9,3,1,0,63,665,56
25,2032,4923,54,19,68970,13,4,2,0,0,45,570,56
25,2031,4923,54,26,86492,13,12,1,1,0,57,738,59
25,2030,4923,54,28,102105,19,8,1,1,0,61,837,69
25,2029,4923,54,35,121423,19,14,2,7,0,78,1043,62
25,2028,4923,54,30,102055,15,12,3,3,0,72,862,65
25,2027,4923,54,38,134996,27,10,1,0,0,74,1106,65
25,2026,4923,54,37,128651,23,13,1,4,0,83,1095,64
25,2025,767,54,37,121640,17,19,1,2,0,98,983,59
25,2024,2197,54,37,118512,23,11,3,2,0,83,1014,62
25,2023,689,57,48,172290,33,12,3,4,0,123,1447,65
25,2022,689,57,38,134893,28,10,0,4,1,89,1126,66
25,2020,689,57,20,68400,0,0,0,0,0,67,615,0
25,2021,689,57,33,112860,0,0,0,0,0,97,1054,0
25,2019,4757,57,16,54720,0,0,0,0,0,45,450,0
172151,2034,357,42,5,16723,1,4,0,1,0,15,129,41
172151,2033,357,42,20,66496,10,8,2,0,0,52,554,54
172151,2032,357,42,17,47921,6,9,2,0,0,60,386,54
172151,2031,2013,109,33,117056,20,10,3,1,0,98,976,63
172151,2030,2013,109,25,87064,15,6,4,1,0,81,725,58
172151,2029,2013,109,26,86002,15,9,2,1,0,61,692,41
172151,2028,1538,110,28,99112,11,12,5,4,0,94,845,39
32,2034,2197,54,11,34751,5,2,4,1,0,26,286,61
32,2033,503,23,37,127850,29,7,1,0,0,64,1032,65
32,2032,505,23,39,134463,26,11,2,0,0,67,1118,67
32,2031,505,23,33,112581,19,11,3,0,0,60,931,65
32,2030,505,23,36,127260,24,9,3,1,0,66,1015,64
32,2029,774,54,29,99515,18,10,1,2,0,61,815,59
32,2028,774,54,30,108636,19,11,0,3,0,58,909,63
32,2027,774,54,27,94576,14,10,3,3,0,54,778,55
32,2026,774,54,20,62620,10,9,1,5,0,46,494,53
32,2025,1795,119,18,63562,9,5,4,1,0,48,535,55
32,2024,910,53,7,23202,2,2,3,0,0,19,190,51
32,2024,741,2,3,4955,1,0,0,0,0,2,28,56
32,2023,910,53,8,28949,7,1,0,0,0,10,238,52
32,2023,741,2,1,3273,0,1,0,0,0,6,34,45
32,2022,3721,54,2,7109,0,2,0,0,0,8,54,53
32,2022,774,54,2,7136,1,1,0,0,0,6,60,46
203506,2034,1538,110,16,57406,11,4,1,1,0,53,472,40
38,2034,620,147,2,7114,1,1,0,0,0,6,66,55
38,2033,620,147,5,16548,3,2,0,0,0,18,136,56
38,2030,2317,147,1,3600,1,0,0,0,0,3,31,54
38,2029,2317,147,4,10942,4,0,0,0,0,7,98,47
38,2028,429,46,3,10711,2,1,0,0,0,9,97,48
38,2027,429,46,2,7200,1,0,1,0,0,5,73,42
38,2026,429,46,2,7142,1,1,0,0,0,8,64,55
38,2025,429,46,3,8471,1,1,1,1,0,6,64,50
38,2024,429,46,4,14400,3,1,0,0,0,8,126,51
38,2023,311,38,10,33746,7,3,0,0,0,29,275,50
38,2022,1564,105,29,103072,15,10,4,1,0,83,856,48
41,2034,878,4,20,67987,7,10,2,1,1,57,564,66
41,2033,878,4,3,10124,0,2,0,0,0,18,111,49
41,2033,876,4,9,29629,6,0,2,0,1,16,217,68
41,2032,876,4,42,152385,21,17,4,1,5,99,1220,72
41,2031,894,4,43,148420,14,27,2,3,2,129,1460,74
41,2030,897,4,45,153830,15,24,4,4,2,143,1528,70
41,2029,627,6,54,194816,35,16,3,2,5,127,1614,74
41,2028,627,6,18,65138,13,4,1,1,1,46,494,66
41,2028,894,4,5,15224,3,1,0,0,0,10,136,74
41,2027,1922,59,21,71159,8,9,2,1,1,58,537,62
41,2026,881,4,32,113774,13,13,6,1,1,90,995,70
41,2025,46,1,10,35799,5,5,0,0,0,27,315,74
41,2025,9,0,3,5569,0,2,0,0,0,7,62,58
41,2024,73,10,42,148995,20,19,2,0,1,129,1254,65
41,2024,46,1,6,21544,4,2,0,0,1,14,147,68
41,2023,46,1,26,91727,14,7,4,1,3,53,724,73
41,2022,712,15,22,76637,14,7,1,0,0,55,617,54
41,2021,1415,69,14,47880,0,0,0,0,0,41,410,0
41,2021,888,48,10,34200,0,0,0,0,0,42,266,0
41,2020,472,22,13,44460,0,0,0,0,0,33,393,0
41,2019,888,48,25,85500,0,0,0,0,0,73,646,0
41,2019,883,4,1,3600,0,0,0,0,0,5,35,0
41,2019,1017,70,1,1200,0,0,0,0,0,0,10,0
41,2018,1017,70,33,112860,0,0,0,0,0,76,938,0
177360,2034,355,42,2,7801,2,0,0,0,0,4,47,47
177360,2033,355,42,5,14843,1,3,1,0,0,17,131,42
177360,2032,355,42,8,28635,3,4,1,0,0,26,251,49
177360,2031,1561,111,20,71210,10,6,4,1,0,39,581,55
177360,2030,1561,111,26,90972,9,12,5,1,0,74,765,42
177360,2029,1538,110,26,89723,12,10,4,2,0,81,778,40
177361,2034,1604,116,12,43717,5,7,0,1,0,32,349,81
177361,2033,2031,105,38,130711,25,11,2,3,0,106,1104,62
177361,2032,1561,111,23,78842,13,7,3,2,0,47,638,55
177361,2031,1561,111,21,74070,14,6,1,0,0,48,631,56
177361,2030,1561,111,20,72523,17,2,1,0,0,35,620,41
177361,2029,1538,110,30,105014,20,8,2,0,0,87,879,39
177363,2034,369,42,1,3600,1,0,0,0,0,3,37,47
177363,2033,369,42,5,17947,3,1,1,0,0,13,159,48
177363,2032,1561,111,17,59287,7,9,1,4,0,49,478,59
177363,2031,1561,111,19,67633,12,6,1,1,0,36,560,58
177363,2030,2013,109,31,109700,19,8,4,0,0,89,936,42
177363,2029,1538,110,28,92096,18,8,2,1,0,81,754,40
203511,2034,1538,110,15,53235,14,1,0,0,1,36,441,39
84,2034,747,2,21,74993,12,7,2,1,2,53,509,63
84,2034,737,2,34,123383,28,4,2,0,6,55,956,78
84,2033,737,2,55,194783,26,21,8,3,4,136,1703,73
84,2032,737,2,23,76560,13,7,1,1,1,58,674,68
84,2031,751,2,29,105081,20,6,2,1,2,63,832,74
84,2030,751,2,2,7500,2,0,0,0,0,6,47,66
84,2030,740,2,11,38314,3,7,0,1,0,33,305,60
84,2029,41,1,47,166855,26,20,0,2,2,118,1416,72
84,2028,4619,1,37,126159,15,16,3,1,1,111,1140,66
84,2028,738,2,1,3714,1,0,0,0,0,3,25,52
84,2027,4619,1,37,130509,20,15,1,4,5,102,1038,65
84,2026,4619,1,34,110878,20,11,1,2,5,80,856,66
84,2025,81,10,20,70218,12,7,1,0,2,54,624,70
84,2025,4619,1,24,76396,13,10,0,0,1,73,697,65
84,2024,4619,1,35,118874,17,12,3,4,0,91,1000,67
84,2023,109,11,49,171592,20,19,8,1,1,189,1721,64
