PlayerId,Year,TeamId,LeagueId,GP,Min,W,L,T/OL,ENG,SO,GA,SA,GR
10131,2023,635,6,1,3558,0,1,0,0,0,3,21,47
10131,2022,635,6,4,14396,3,1,0,0,0,12,119,64
20053,2023,842,66,3,10751,2,1,0,0,0,6,82,73
20053,2022,837,7,1,3600,1,0,0,0,0,1,19,75
265,2023,35,0,4,13653,0,4,0,0,0,19,102,37
265,2022,35,0,4,14388,1,3,0,0,0,14,169,74
335,2022,10,0,2,7174,1,1,0,0,0,7,46,47
447,2023,45,1,3,10793,2,1,0,1,1,7,81,71
447,2022,45,1,4,14400,4,0,0,0,0,9,111,77
514,2022,874,4,2,7500,1,0,1,0,0,5,59,64
725,2023,11,0,4,14372,1,3,0,1,0,12,133,74
725,2022,11,0,4,14682,1,2,1,0,0,13,134,66
740,2022,27,0,4,14400,3,1,0,0,0,10,132,73
740,2023,15,0,3,8033,0,3,0,0,0,13,79,52
767,2023,752,2,4,15000,4,0,0,0,1,5,99,82
910,2022,59,1,3,11100,1,1,1,0,1,6,106,78
910,2023,59,1,4,13329,1,2,1,1,0,16,157,69
1318,2023,830,7,2,7200,1,1,0,0,0,3,59,88
1318,2022,830,7,3,10745,2,1,0,0,0,7,92,69
1359,2023,875,4,3,10777,2,1,0,0,0,7,112,78
1359,2022,875,4,3,10800,3,0,0,0,0,5,113,87
2531,2022,175,33,4,14400,3,1,0,0,1,9,77,59
3851,2022,3797,193,4,11957,2,1,0,0,0,15,106,52
4613,2022,3798,193,2,7500,1,1,0,0,0,7,60,61
5073,2022,72,10,4,14391,3,1,0,0,1,7,100,70
5561,2022,46,1,3,11063,2,1,0,0,1,5,92,76
6289,2022,59,1,1,3900,1,0,0,0,0,3,25,58
9542,2023,627,6,3,10525,2,1,0,0,0,11,103,62
9542,2022,627,6,4,14527,4,0,0,0,2,3,94,85
9951,2022,1477,5,2,7200,1,1,0,0,0,6,70,68
10091,2023,24,0,3,10800,3,0,0,0,1,3,84,82
10091,2022,24,0,3,10758,1,2,0,0,0,10,90,61
10259,2023,834,7,4,13351,1,2,1,0,0,11,122,66
10259,2022,834,7,4,14324,3,1,0,0,1,12,121,71
10478,2023,839,7,3,10736,1,2,0,0,0,10,107,77
10478,2022,839,7,3,10712,1,2,0,0,0,7,44,47
10482,2022,511,5,3,10767,1,2,0,0,1,7,90,74
10482,2023,511,5,3,9236,0,3,0,0,0,13,97,54
10678,2023,4619,1,2,7499,0,1,1,0,0,9,82,69
10678,2022,4619,1,1,3600,1,0,0,0,0,2,33,82
10678,2022,25,0,3,11100,3,0,0,0,0,5,101,91
11660,2023,844,7,3,10800,2,1,0,0,2,4,109,88
11660,2022,844,7,2,6643,0,2,0,0,0,10,51,41
12458,2022,520,5,2,4033,1,0,0,0,1,3,37,67
12462,2023,891,48,3,10945,2,1,0,0,0,11,86,56
13777,2023,897,4,2,7345,0,1,1,0,0,6,85,90
13777,2022,28,0,5,12002,2,1,0,0,1,9,90,63
13841,2023,878,4,2,7200,2,0,0,0,0,2,43,79
13841,2022,878,4,2,7500,1,0,1,0,0,3,47,67
15625,2022,524,5,2,7177,1,1,0,0,0,7,69,71
24004,2022,4247,33,5,15246,2,2,0,0,0,12,128,63
36592,2022,157,10,2,4467,0,0,1,0,0,6,35,47
59279,2022,1340,13,3,8134,1,1,0,0,0,10,58,42
41827,2022,108,11,3,10762,2,1,0,0,0,6,78,72
10174,2022,651,6,5,17883,2,3,0,1,0,17,157,65
852,2024,848,7,2,7181,1,1,0,0,0,4,57,79
852,2023,848,7,2,7200,1,1,0,0,0,6,75,70
852,2022,848,7,3,9692,1,2,0,0,0,12,87,51
2727,2022,3797,193,3,10243,1,1,1,0,0,11,87,53
2874,2022,3796,193,1,3600,1,0,0,0,0,2,29,68
9727,2024,648,6,2,7457,0,1,1,0,0,6,61,65
10037,2022,1472,83,3,11100,2,1,0,0,0,9,86,67
19903,2022,642,6,2,7075,0,2,0,1,0,5,56,69
19979,2022,4999,193,3,11100,2,1,0,0,0,10,96,68
20639,2022,2280,128,3,7824,3,0,0,0,0,7,58,53
22834,2022,891,48,3,11100,2,1,0,0,0,9,104,74
25116,2022,2556,128,3,7867,2,1,0,0,0,6,61,59
30387,2022,515,5,1,3594,0,1,0,0,0,2,34,81
40914,2022,887,4,2,6708,0,1,0,0,0,8,72,61
930,2024,20,0,1,3900,0,0,1,0,0,2,26,56
930,2023,20,0,3,10779,2,1,0,1,0,10,86,61
930,2022,20,0,4,14400,3,1,0,0,0,7,125,78
1077,2022,0,0,2,7116,0,2,0,1,0,6,81,80
