PlayerId,Year,TeamId,LeagueId,GP,Min,W,L,T/OL,ENG,SO,GA,SA,GR
1876,2021,4620,10,2,7200,0,0,0,0,0,7,58,0
1876,2021,63,1,2,7200,0,0,0,0,0,5,52,0
1876,2020,63,1,14,47880,0,0,0,0,0,42,382,0
1876,2018,175,33,9,30780,0,0,0,0,0,27,235,0
1876,2018,167,33,1,3600,0,0,0,0,0,3,22,0
1876,2019,73,10,2,7200,0,0,0,0,0,6,60,0
1876,2019,2165,10,7,23940,0,0,0,0,0,21,153,0
1876,2019,69,10,2,7200,0,0,0,0,0,5,58,0
1876,2018,67,10,12,41040,0,0,0,0,0,33,359,0
1876,2017,2165,10,20,68400,0,0,0,0,0,70,588,0
1876,2016,2165,10,25,85500,0,0,0,0,0,78,736,0
1876,2015,2165,10,2,7200,0,0,0,0,0,2,59,0
1876,2012,71,10,1,3600,0,0,0,0,0,3,15,0
1876,2013,112,11,49,167580,0,0,0,0,0,158,1596,0
1876,2012,112,11,43,147060,0,0,0,0,0,132,1483,0
1876,2011,112,11,38,129960,0,0,0,0,0,141,1282,0
1876,2010,112,11,43,147060,0,0,0,0,0,178,1508,0
1876,2009,112,11,17,58140,0,0,0,0,0,72,529,0
1963,2014,116,11,32,109440,0,0,0,0,0,89,937,0
1963,2014,122,11,6,20520,0,0,0,0,0,14,192,0
1963,2013,122,11,54,184680,0,0,0,0,0,148,1762,0
1963,2012,122,11,20,68400,0,0,0,0,0,50,588,0
1963,2011,125,11,17,58140,0,0,0,0,0,63,492,0
1963,2010,125,11,29,99180,0,0,0,0,0,139,1069,0
2085,2013,114,11,33,112860,0,0,0,0,0,95,872,0
2085,2011,117,11,5,17100,0,0,0,0,0,29,145,0
2085,2010,117,11,5,17100,0,0,0,0,0,27,190,0
2361,2012,100,12,4,13680,0,0,0,0,0,16,124,0
2361,2011,100,12,14,47880,0,0,0,0,0,57,456,0
2588,2014,100,12,3,10800,0,0,0,0,0,15,101,0
2588,2013,101,12,29,99180,0,0,0,0,0,82,804,0
2588,2012,102,12,4,13680,0,0,0,0,0,11,125,0
2588,2012,101,12,19,64980,0,0,0,0,0,75,540,0
2588,2011,102,12,22,75240,0,0,0,0,0,104,638,0
2663,2021,1368,32,18,61560,0,0,0,0,0,76,710,0
2663,2018,172,33,2,7200,0,0,0,0,0,12,81,0
2663,2017,4247,33,1,1200,0,0,0,0,0,0,10,0
2663,2019,1368,32,15,51300,0,0,0,0,0,44,543,0
2663,2018,1368,32,31,106020,0,0,0,0,0,93,1208,0
2663,2017,1368,32,13,44460,0,0,0,0,0,29,475,0
2663,2016,2619,32,13,44460,0,0,0,0,0,36,434,0
2895,2017,2165,10,2,7200,0,0,0,0,0,5,47,0
2895,2017,4245,10,3,10800,0,0,0,0,0,6,77,0
2895,2017,69,10,15,51300,0,0,0,0,0,47,465,0
3774,2021,175,33,2,7200,0,0,0,0,0,7,54,0
3774,2021,71,10,25,85500,0,0,0,0,0,70,769,0
3774,2021,1095,10,1,3600,0,0,0,0,0,5,36,0
3774,2020,149,10,5,17100,0,0,0,0,0,20,149,0
3774,2020,77,10,4,13680,0,0,0,0,0,15,112,0
3774,2020,1097,10,1,3600,0,0,0,0,0,4,28,0
3774,2017,175,33,4,13680,0,0,0,0,0,5,122,0
3774,2016,169,33,49,167580,0,0,0,0,0,96,1315,0
3774,2015,169,33,13,44460,0,0,0,0,0,23,359,0
3774,2014,169,33,4,13680,0,0,0,0,0,8,160,0
3774,2019,76,10,20,68400,0,0,0,0,0,71,640,0
3774,2018,76,10,48,164160,0,0,0,0,0,110,1358,0
3774,2017,76,10,29,99180,0,0,0,0,0,74,925,0
3774,2015,2165,10,5,17100,0,0,0,0,0,17,138,0
3774,2015,158,10,9,30780,0,0,0,0,0,24,258,0
3774,2015,1095,10,3,10800,0,0,0,0,0,8,90,0
3774,2014,1096,10,2,7200,0,0,0,0,0,5,56,0
3774,2014,2564,10,3,10800,0,0,0,0,0,19,101,0
3774,2019,38,1,1,3600,0,0,0,0,0,3,28,0
3774,2018,38,1,1,3600,0,0,0,0,0,3,15,0
3774,2010,193,14,15,51300,0,0,0,0,0,31,352,0
3774,2011,193,14,19,64980,0,0,0,0,0,57,559,0
3774,2012,193,14,11,37620,0,0,0,0,0,34,343,0
3774,2013,193,14,18,61560,0,0,0,0,0,68,607,0
3945,2017,151,10,6,20520,0,0,0,0,0,18,173,0
3945,2015,150,10,24,82080,0,0,0,0,0,55,724,0
3945,2018,472,22,33,112860,0,0,0,0,0,92,836,0
3945,2011,192,14,24,82080,0,0,0,0,0,73,689,0
3945,2013,192,14,16,54720,0,0,0,0,0,38,500,0
3945,2014,192,14,37,126540,0,0,0,0,0,80,1053,0
3945,2017,50,1,25,85500,0,0,0,0,0,74,787,0
3945,2016,50,1,30,102600,0,0,0,0,0,75,926,0
3945,2015,50,1,14,47880,0,0,0,0,0,35,0,0
4211,2014,223,14,12,41040,0,0,0,0,0,39,358,0
4211,2015,223,14,5,17100,0,0,0,0,0,15,139,0
4211,2016,223,14,4,13680,0,0,0,0,0,5,98,0
4211,2017,223,14,28,95760,0,0,0,0,0,61,803,0
4683,2016,216,14,9,30780,0,0,0,0,0,22,216,0
4924,2018,84,10,3,10800,0,0,0,0,0,10,75,0
4924,2017,81,10,4,13680,0,0,0,0,0,12,86,0
4924,2014,228,14,24,82080,0,0,0,0,0,59,776,0
4924,2015,228,14,20,68400,0,0,0,0,0,59,678,0
4924,2016,228,14,24,82080,0,0,0,0,0,70,761,0
4924,2017,228,14,35,119700,0,0,0,0,0,93,1134,0
6985,2013,221,14,14,47880,0,0,0,0,0,27,342,0
6985,2014,221,14,36,123120,0,0,0,0,0,101,944,0
6985,2016,194,14,21,71820,0,0,0,0,0,53,525,0
6985,2017,552,9,10,34200,0,0,0,0,0,32,281,0
7531,2021,167,33,35,119700,0,0,0,0,0,159,1178,0
7531,2019,167,33,5,17100,0,0,0,0,0,10,135,0
7531,2019,174,33,5,17100,0,0,0,0,0,19,207,0
7531,2019,165,32,3,10800,0,0,0,0,0,9,115,0
7531,2019,4624,32,3,10800,0,0,0,0,0,9,122,0
7540,2018,75,10,6,20520,0,0,0,0,0,17,175,0
7540,2018,1095,10,1,3600,0,0,0,0,0,3,30,0
7540,2018,152,10,17,58140,0,0,0,0,0,57,533,0
7540,2014,196,14,36,123120,0,0,0,0,0,67,1063,0
7540,2015,196,14,33,112860,0,0,0,0,0,64,985,0
7540,2016,196,14,35,119700,0,0,0,0,0,76,1070,0
7540,2017,220,14,27,92340,0,0,0,0,0,79,718,0
8378,2019,4467,54,25,85500,0,0,0,0,0,72,706,0
8378,2013,183,14,2,7200,0,0,0,0,0,7,45,0
8378,2014,183,14,4,13680,0,0,0,0,0,9,110,0
8775,2019,966,48,29,99180,0,0,0,0,0,66,767,0
8775,2018,1097,10,26,88920,0,0,0,0,0,72,699,0
8775,2014,212,14,27,92340,0,0,0,0,0,60,723,0
8775,2015,212,14,31,106020,0,0,0,0,0,67,859,0
8775,2016,212,14,38,129960,0,0,0,0,0,66,930,0
8775,2017,212,14,39,133380,0,0,0,0,0,70,972,0
9034,2012,88,12,13,44460,0,0,0,0,0,50,394,0
9034,2010,103,12,1,3600,0,0,0,0,0,6,0,0
9106,2019,418,46,5,17100,0,0,0,0,0,37,182,0
9106,2013,89,12,50,171000,0,0,0,0,0,154,1525,0
9106,2012,96,12,6,20520,0,0,0,0,0,22,185,0
9106,2011,96,12,1,1200,0,0,0,0,0,0,10,0
9549,2020,1810,126,15,51300,0,0,0,0,0,59,465,0
9549,2021,1835,126,18,61560,0,0,0,0,0,82,566,0
9549,2019,643,126,28,95760,0,0,0,0,0,72,610,0
9549,2018,1809,126,38,129960,0,0,0,0,0,131,873,0
9549,2016,637,6,1,3600,0,0,0,0,0,4,36,0
9549,2015,637,6,4,13680,0,0,0,0,0,14,127,0
9838,2023,2556,128,3,10800,3,0,0,0,0,5,104,90
9838,2023,1927,59,25,83933,18,5,1,0,4,50,609,69
9838,2022,721,20,27,88169,17,8,2,1,0,85,709,66
9838,2021,1871,83,26,88920,0,0,0,0,0,68,756,0
9838,2020,1871,83,25,85500,0,0,0,0,0,57,679,0
9838,2012,885,48,27,92340,0,0,0,0,0,70,714,0
9838,2007,171,33,19,64980,0,0,0,0,0,53,576,0
9838,2006,171,33,14,47880,0,0,0,0,0,46,460,0
9838,2007,66,10,14,47880,0,0,0,0,0,35,402,0
9838,2006,73,10,16,54720,0,0,0,0,0,43,551,0
9838,2008,730,2,2,7200,0,0,0,0,0,6,63,0
9838,2019,4786,103,32,109440,0,0,0,0,0,58,853,0
9838,2018,2319,16,25,85500,0,0,0,0,0,78,876,0
9838,2018,2316,16,8,27360,0,0,0,0,0,19,253,0
9838,2017,561,9,53,181260,0,0,0,0,0,119,1451,0
9838,2003,132,13,19,64980,0,0,0,0,0,58,644,0
9838,2015,619,16,17,58140,0,0,0,0,0,40,519,0
9838,2016,561,9,51,174420,0,0,0,0,0,124,1425,0
9838,2010,561,9,52,177840,0,0,0,0,0,115,1533,0
9838,2014,543,24,35,119700,0,0,0,0,0,93,1163,0
9838,2013,545,24,30,102600,0,0,0,0,0,79,1013,0
9838,2011,549,24,38,129960,0,0,0,0,0,88,1173,0
9838,2009,1074,23,24,82080,0,0,0,0,0,80,941,0
9838,2008,4562,23,24,82080,0,0,0,0,0,76,884,0
9838,2005,4563,23,29,99180,0,0,0,0,0,80,0,0
10131,2023,635,6,1,3600,1,0,0,0,0,1,28,76
10131,2022,635,6,15,50181,5,7,1,0,0,44,447,64
10131,2021,627,6,21,71820,0,0,0,0,0,49,505,0
10131,2020,627,6,20,68400,0,0,0,0,0,39,481,0
10131,2011,564,3,31,106020,0,0,0,0,0,65,890,0
10131,2019,627,6,33,112860,0,0,0,0,0,72,661,0
10131,2018,627,6,30,102600,0,0,0,0,0,64,646,0
10131,2017,627,6,39,133380,0,0,0,0,0,104,1095,0
10131,2011,50,1,6,20520,0,0,0,0,0,14,0,0
10131,2016,627,6,40,136800,0,0,0,0,0,90,928,0
10131,2015,627,6,36,123120,0,0,0,0,0,75,1071,0
10131,2014,627,6,41,140220,0,0,0,0,0,91,1138,0
10131,2013,627,6,33,112860,0,0,0,0,0,77,975,0
10131,2012,627,6,41,140220,0,0,0,0,0,91,1230,0
10131,2010,635,6,46,157320,0,0,0,0,0,137,1370,0
10131,2009,635,6,52,177840,0,0,0,0,0,162,1705,0
10131,2008,635,6,50,171000,0,0,0,0,0,145,1526,0
10131,2006,1838,6,2,7200,0,0,0,0,0,6,46,0
10131,2005,635,6,5,17100,0,0,0,0,0,28,172,0
10131,2004,635,6,2,7200,0,0,0,0,0,3,52,0
11067,2021,745,2,14,47880,0,0,0,0,0,37,416,0
11067,2020,747,2,14,47880,0,0,0,0,0,27,397,0
11067,2020,729,2,7,23940,0,0,0,0,0,19,161,0
11067,2019,747,2,9,30780,4,3,0,0,0,18,247,0
11067,2018,742,2,22,75240,14,5,0,0,1,44,611,0
