PlayerId,Year,TeamId,LeagueId,GP,G,A,PIM,+/-,PP G,PP A,SH G,SH A,GR,GWG,SOG,FO,FO W,HIT,GvA,TkA,SB,TOI,PPTOI,SHTOI,Fights,Fights Won
74,2023,29,0,3,0,1,0,-2,0,0,0,0,56,0,2,33,17,4,0,0,2,2248,0,307,0,0
74,2022,27,0,2,0,0,0,2,0,0,0,0,59,0,0,24,6,2,1,1,2,1685,78,237,0,0
115,2023,167,33,1,0,2,0,-2,0,1,0,0,78,0,3,4,2,4,0,0,2,1100,213,126,0,0
115,2023,4182,0,2,1,0,0,0,0,0,0,0,65,0,2,12,7,1,0,0,1,939,0,283,0,0
131,2022,15,0,7,0,1,4,-2,0,0,0,0,61,0,10,70,49,11,1,1,1,5357,395,102,0,0
131,2023,15,0,5,1,4,2,-1,1,0,0,0,58,0,14,46,27,8,1,1,0,4017,358,0,0,0
153,2023,20,0,4,0,1,2,-2,0,0,0,0,58,0,2,2,0,12,4,0,0,2919,0,552,0,0
153,2022,20,0,5,1,0,2,4,0,0,0,0,62,0,14,21,10,7,4,2,0,3808,0,797,0,0
160,2023,4182,0,2,0,0,0,-3,0,0,0,0,51,0,5,0,0,3,1,0,2,2252,0,153,0,0
160,2022,29,0,3,0,1,0,3,0,0,0,0,66,0,2,0,0,6,4,1,5,3096,381,496,0,0
234,2022,22,0,3,0,1,0,-1,0,0,0,0,62,0,6,23,16,5,1,1,0,1940,0,399,0,0
426,2023,511,5,7,1,1,11,-4,0,0,1,0,55,0,9,0,0,9,1,2,3,6415,83,1470,1,0
426,2022,511,5,3,0,0,0,0,0,0,0,0,59,0,4,0,0,2,0,1,2,1917,0,501,0,0
468,2023,584,59,7,1,0,4,-5,0,0,0,0,64,0,10,12,9,5,1,1,3,4169,503,1052,0,0
468,2022,574,3,1,0,0,0,-1,0,0,0,0,53,0,4,7,2,0,1,1,1,361,0,212,0,0
522,2023,18,0,5,1,0,8,-1,0,0,0,0,63,0,6,19,13,19,1,1,1,3371,93,158,0,0
522,2022,19,0,7,0,2,17,3,0,0,0,0,62,0,4,4,2,5,4,2,1,4418,24,264,1,0
549,2022,4182,0,6,0,1,12,-3,0,0,0,0,63,0,6,0,0,3,2,5,17,6488,334,604,0,0
549,2023,4182,0,6,0,1,4,-1,0,0,0,0,61,0,5,0,0,4,2,5,15,5506,203,1112,0,0
606,2023,516,5,6,3,2,10,4,0,1,0,0,66,0,15,19,12,6,4,1,3,4609,980,730,0,0
679,2023,9,0,6,3,3,0,4,0,0,0,0,65,0,14,6,2,2,1,2,2,5099,58,170,0,0
679,2022,9,0,6,1,0,5,-4,1,0,0,0,61,0,12,6,2,9,0,2,3,5271,446,336,0,0
680,2022,29,0,6,1,3,4,3,0,0,0,0,62,0,8,1,0,21,5,1,2,5088,216,75,0,0
680,2023,17,0,2,0,0,2,0,0,0,0,0,57,0,1,0,0,3,1,0,0,1185,0,0,0,0
697,2023,740,2,4,3,1,0,2,1,1,0,0,63,1,13,59,26,2,0,0,2,2609,975,0,0,0
697,2022,568,3,5,1,1,4,-2,0,0,0,0,68,1,13,101,45,8,3,2,6,4458,1514,281,0,0
1001,2023,35,0,6,3,2,0,2,0,0,0,0,65,0,17,3,0,7,2,1,4,5293,852,170,0,0
1001,2022,35,0,6,1,4,2,1,0,0,0,0,63,0,15,11,4,7,0,2,4,5785,380,460,0,0
1005,2023,58,1,5,0,0,2,-2,0,0,0,0,61,0,4,0,0,12,2,2,14,4580,11,857,0,0
1005,2022,16,0,3,0,0,0,-2,0,0,0,0,52,0,1,0,0,3,1,1,7,2686,0,65,0,0
1016,2023,734,2,5,0,1,0,1,0,0,0,0,64,0,3,0,0,3,0,1,7,3410,33,663,0,0
1016,2022,737,2,7,0,0,2,-3,0,0,0,0,72,0,6,0,0,13,2,5,19,6499,652,1638,0,0
1234,2023,21,0,4,0,0,2,3,0,0,0,0,64,0,7,5,2,4,2,1,0,3617,173,315,0,0
1245,2023,744,2,7,2,2,2,-1,1,0,0,0,71,0,14,0,0,8,1,5,5,6638,1042,494,0,0
1343,2023,26,0,2,1,0,0,0,0,0,0,0,62,0,6,2,1,3,1,0,0,1085,0,473,0,0
1343,2022,31,0,1,0,0,0,-1,0,0,0,0,47,0,2,6,4,1,0,0,0,272,0,10,0,0
3203,2023,175,33,6,1,1,6,-5,0,0,0,0,66,0,19,0,0,5,2,2,5,5546,948,427,0,0
3203,2022,175,33,7,1,3,2,7,0,0,0,0,73,0,22,0,0,7,4,8,8,6796,1625,748,0,0
3243,2023,3798,193,1,0,0,0,1,0,0,0,0,60,0,1,1,0,1,0,0,0,632,0,0,0,0
3243,2022,3798,193,5,0,1,0,-1,0,1,0,0,64,0,7,4,4,3,0,1,1,2030,788,445,0,0
3300,2023,1368,32,4,0,0,2,-1,0,0,0,0,54,0,2,0,0,5,2,2,5,3395,24,844,0,0
3300,2022,1368,32,1,0,0,0,0,0,0,0,0,58,0,0,0,0,1,0,0,0,766,118,154,0,0
3345,2023,165,32,5,0,0,2,-6,0,0,0,0,52,0,3,0,0,6,1,1,5,4777,14,290,0,0
